id,category,question,answer,source,
42,选课退课,课程退课的最晚截止时间是什么时候？,每学期开学第四周的周五 17:00 为退课截止日期，超时后教务系统关闭退课通道，无法办理任何退课手续,教务处《选课管理办法》,
43,选课退课,必修课可以申请退课吗？,专业必修课、公共必修课均不允许退课，确有特殊情况无法上课的，需办理休学、缓考手续，不得擅自退课,教务处教学管理规定,
44,选课退课,选修课选错了，在退课窗口期可以更换吗？,在正式选课、退课窗口期内，可自由退选已选的选修课，重新选择其他课程，退课窗口期结束后，不可再调整课程,教务处选课须知,
45,选课退课,挂科的课程，什么时候可以申请重修选课？,每学期期末，教务处开放重修选课通道，挂科学生需在规定时间内完成重修选课，逾期未选的，需顺延至下一学年重修,教务处学籍管理通知,
46,选课退课,选课的时候，课程人数满了还能加进去吗？,课程人数达到上限后，教务系统自动关闭选课通道，无法再加入；确有特殊情况的，需提交书面申请，由任课老师、教务处审批同意后，人工加课,教务处选课管理通知,
47,选课退课,大学期间需要修满多少选修课学分才能毕业？,专科学生在校期间，需修满公共选修课 6 学分、专业选修课 4 学分，合计 10 学分，未修满学分的，无法正常毕业,教务处《人才培养方案》,
48,选课退课,退课之后，该课程的成绩会怎么记录？,在退课窗口期内正常退课的课程，不记录任何成绩，不影响绩点；退课窗口期结束后，未参加课程考试的，按缺考、0 分记录,教务处成绩管理规定,
49,选课退课,重修考试没过，还能再申请重修吗？,重修考试未通过的，可在下一学年继续申请重修，直至考试通过；毕业前仍未通过的，按结业处理，无法正常毕业,教务处《学籍管理办法》,
50,选课退课,可以提前选修高年级的课程吗？,学有余力的学生，可提交书面申请，经辅导员、系主任审批同意后，提前选修高年级的专业课程，考核通过后，学分提前计入毕业学分,教务处教学管理规定,
51,请假,怎么请病假？,病假需向辅导员提交书面假条并附校医院诊断证明，3天内交教务处备案,教务处学籍管理特殊规定,学生手册P23
52,奖学金,奖学金要多少绩点？,学年平均绩点需达到3.0以上，无挂科记录，体测成绩合格方可参评。,学生处奖学金评审细则,学生手册P45
53,宿舍报修,宿舍灯坏了找谁？,宿舍灯具故障可通过后勤报修小程序提交工单，或联系宿管登记报修，24小时内上门处理。,后勤处空调维修服务说明,
54,一卡通补办,一卡通在食堂消费时，多扣了钱怎么办？,发现消费多扣、错扣的情况，可在 3 个工作日内，携带一卡通和消费记录，前往食堂财务办公室核对，确认无误后全额退还差额,食堂消费管理通知,后勤服务指南
55,选课退课,选修课考试没过，需要重修吗？,选修课考试未通过，无需重修，可重新选择其他选修课修满学分即可，也可选择重修该课程，考核通过后计入学分,教务处选修课管理规定,
56,请假,学生因家庭重大变故请假，最长可以请多久？,因家庭重大变故、直系亲属生病等特殊情况请假，最长可申请 30 天假期，超出 30 天的，需办理休学手续,教务处特殊情况请假管理规定,
57,奖学金,家庭经济困难的学生，除了助学金还有什么资助政策？,家庭经济困难学生，可申请国家助学贷款、勤工助学岗位、临时困难补助、学费减免等多项资助政策，确保学生顺利完成学业,学生处资助管理中心通知,
58,宿舍报修,宿舍内的洗衣机故障怎么报修？,宿舍公共洗衣机故障，可直接在洗衣机机身张贴的运维二维码上提交报修，也可联系宿管阿姨登记，运维人员 24 小时内上门维修,宿舍公共设施管理通知,
59,一卡通补办,校园一卡通的初始密码是什么？怎么修改？,一卡通初始密码为身份证后 6 位，首次使用需在食堂自助充值机、公众号一卡通入口修改密码，确保账户安全,信息化中心一卡通安全使用说明,
60,选课退课,每学期最多可以选多少学分的课程？,每学期选课学分上限为 30 学分，超出上限的，教务系统无法提交选课申请，确有需要的，需提交书面申请，经教务处审批同意后可增加学分上限,教务处选课管理规定,
